Kernel Name,Kernel Size,Section,Metric Name,Metric Unit,Value
sgemm_small,4096.0,launch_statistics,# SMs,SM,8
sgemm_small,4096.0,launch_statistics,Threads,thread,4194304
sgemm_small,4096.0,launch_statistics,Uses Green Context,,0
sgemm_small,4096.0,launch_statistics,Waves Per SM,,512
sgemm_small,4096.0,occupancy,Block Limit SM,block,16
sgemm_small,4096.0,occupancy,Block Limit Registers,block,16
sgemm_small,4096.0,occupancy,Block Limit Shared Mem,block,20
sgemm_small,4096.0,occupancy,Block Limit Warps,block,24
sgemm_small,4096.0,occupancy,Theoretical Active Warps per SM,warp,32
sgemm_small,4096.0,occupancy,Theoretical Occupancy,%,66.67
sgemm_small,4096.0,occupancy,Achieved Occupancy,%,66.60
sgemm_small,4096.0,occupancy,Achieved Active Warps Per SM,warp,31.97
sgemm_small,4096.0,gpu_and_memory_workload,Average L1 Active Cycles,cycle,357782284
sgemm_small,4096.0,gpu_and_memory_workload,Total L1 Elapsed Cycles,cycle,2904104560
sgemm_small,4096.0,gpu_and_memory_workload,Average L2 Active Cycles,cycle,356494579.25
sgemm_small,4096.0,gpu_and_memory_workload,Total L2 Elapsed Cycles,cycle,1435174452
sgemm_small,4096.0,gpu_and_memory_workload,Average SM Active Cycles,cycle,357782284
sgemm_small,4096.0,gpu_and_memory_workload,Total SM Elapsed Cycles,cycle,2904104560
sgemm_small,4096.0,gpu_and_memory_workload,Average SMSP Active Cycles,cycle,353341684.28
sgemm_small,4096.0,gpu_and_memory_workload,Total SMSP Elapsed Cycles,cycle,11616418240
sgemm_small,5120.0,speed_of_light,SM Frequency,Mhz,408.00
sgemm_small,5120.0,speed_of_light,Elapsed Cycles,cycle,919712124
sgemm_small,5120.0,speed_of_light,Memory Throughput,%,65.08
sgemm_small,5120.0,speed_of_light,Duration,s,2.25
sgemm_small,5120.0,speed_of_light,L1/TEX Cache Throughput,%,66.63
sgemm_small,5120.0,speed_of_light,L2 Cache Throughput,%,58.93
sgemm_small,5120.0,speed_of_light,SM Active Cycles,cycle,925660117.12
sgemm_small,5120.0,speed_of_light,Compute (SM) Throughput,%,31.15
sgemm_small,5120.0,launch_statistics,Block Size,,64
sgemm_small,5120.0,launch_statistics,Function Cache Configuration,,CachePreferNone
sgemm_small,5120.0,launch_statistics,Grid Size,,102400
sgemm_small,5120.0,launch_statistics,Registers Per Thread,register/thread,60
sgemm_small,5120.0,launch_statistics,Shared Memory Configuration Size,Kbyte,102.40
sgemm_small,5120.0,launch_statistics,Driver Shared Memory Per Block,Kbyte/block,1.02
sgemm_small,5120.0,launch_statistics,Dynamic Shared Memory Per Block,byte/block,0
sgemm_small,5120.0,launch_statistics,Static Shared Memory Per Block,Kbyte/block,4.10
sgemm_small,5120.0,launch_statistics,# SMs,SM,8
sgemm_small,5120.0,launch_statistics,Threads,thread,6553600
sgemm_small,5120.0,launch_statistics,Uses Green Context,,0
sgemm_small,5120.0,launch_statistics,Waves Per SM,,800
sgemm_small,5120.0,occupancy,Block Limit SM,block,16
sgemm_small,5120.0,occupancy,Block Limit Registers,block,16
sgemm_small,5120.0,occupancy,Block Limit Shared Mem,block,20
sgemm_small,5120.0,occupancy,Block Limit Warps,block,24
sgemm_small,5120.0,occupancy,Theoretical Active Warps per SM,warp,32
sgemm_small,5120.0,occupancy,Theoretical Occupancy,%,66.67
sgemm_small,5120.0,occupancy,Achieved Occupancy,%,66.41
sgemm_small,5120.0,occupancy,Achieved Active Warps Per SM,warp,31.88
sgemm_small,5120.0,gpu_and_memory_workload,Average L1 Active Cycles,cycle,925660117.12
sgemm_small,5120.0,gpu_and_memory_workload,Total L1 Elapsed Cycles,cycle,7582242312
sgemm_small,5120.0,gpu_and_memory_workload,Average L2 Active Cycles,cycle,938261378.50
sgemm_small,5120.0,gpu_and_memory_workload,Total L2 Elapsed Cycles,cycle,3678848508
sgemm_small,5120.0,gpu_and_memory_workload,Average SM Active Cycles,cycle,925660117.12
sgemm_small,5120.0,gpu_and_memory_workload,Total SM Elapsed Cycles,cycle,7582242312
sgemm_small,5120.0,gpu_and_memory_workload,Average SMSP Active Cycles,cycle,935502728.72
sgemm_small,5120.0,gpu_and_memory_workload,Total SMSP Elapsed Cycles,cycle,30328969248
sgemm_small,6144.0,speed_of_light,SM Frequency,Mhz,407.69
sgemm_small,6144.0,speed_of_light,Elapsed Cycles,cycle,2526059054
sgemm_small,6144.0,speed_of_light,Memory Throughput,%,41.67
sgemm_small,6144.0,speed_of_light,Duration,s,6.20
sgemm_small,6144.0,speed_of_light,L1/TEX Cache Throughput,%,41.56
sgemm_small,6144.0,speed_of_light,L2 Cache Throughput,%,38.20
sgemm_small,6144.0,speed_of_light,SM Active Cycles,cycle,2561336008.25
sgemm_small,6144.0,speed_of_light,Compute (SM) Throughput,%,19.96
sgemm_small,6144.0,launch_statistics,Block Size,,64
sgemm_small,6144.0,launch_statistics,Function Cache Configuration,,CachePreferNone
sgemm_small,6144.0,launch_statistics,Grid Size,,147456
sgemm_small,6144.0,launch_statistics,Registers Per Thread,register/thread,60
