Kernel Name,Kernel Size,Section,Metric Name,Metric Unit,Value
ft_sgemm_medium,5120.0,launch_statistics,Function Cache Configuration,,CachePreferNone
ft_sgemm_medium,5120.0,launch_statistics,Grid Size,,25600
ft_sgemm_medium,5120.0,launch_statistics,Registers Per Thread,register/thread,64
ft_sgemm_medium,5120.0,launch_statistics,Shared Memory Configuration Size,Kbyte,102.40
ft_sgemm_medium,5120.0,launch_statistics,Driver Shared Memory Per Block,Kbyte/block,1.02
ft_sgemm_medium,5120.0,launch_statistics,Dynamic Shared Memory Per Block,byte/block,0
ft_sgemm_medium,5120.0,launch_statistics,Static Shared Memory Per Block,Kbyte/block,4.13
ft_sgemm_medium,5120.0,launch_statistics,# SMs,SM,8
ft_sgemm_medium,5120.0,launch_statistics,Threads,thread,1638400
ft_sgemm_medium,5120.0,launch_statistics,Uses Green Context,,0
ft_sgemm_medium,5120.0,launch_statistics,Waves Per SM,,200
ft_sgemm_medium,5120.0,occupancy,Block Limit SM,block,16
ft_sgemm_medium,5120.0,occupancy,Block Limit Registers,block,16
ft_sgemm_medium,5120.0,occupancy,Block Limit Shared Mem,block,19
ft_sgemm_medium,5120.0,occupancy,Block Limit Warps,block,24
ft_sgemm_medium,5120.0,occupancy,Theoretical Active Warps per SM,warp,32
ft_sgemm_medium,5120.0,occupancy,Theoretical Occupancy,%,66.67
ft_sgemm_medium,5120.0,occupancy,Achieved Occupancy,%,66.42
ft_sgemm_medium,5120.0,occupancy,Achieved Active Warps Per SM,warp,31.88
ft_sgemm_medium,5120.0,gpu_and_memory_workload,Average L1 Active Cycles,cycle,429814500.75
ft_sgemm_medium,5120.0,gpu_and_memory_workload,Total L1 Elapsed Cycles,cycle,3492311256
ft_sgemm_medium,5120.0,gpu_and_memory_workload,Average L2 Active Cycles,cycle,435432744.50
ft_sgemm_medium,5120.0,gpu_and_memory_workload,Total L2 Elapsed Cycles,cycle,1741678132
ft_sgemm_medium,5120.0,gpu_and_memory_workload,Average SM Active Cycles,cycle,429814500.75
ft_sgemm_medium,5120.0,gpu_and_memory_workload,Total SM Elapsed Cycles,cycle,3492311256
ft_sgemm_medium,5120.0,gpu_and_memory_workload,Average SMSP Active Cycles,cycle,429228901.47
ft_sgemm_medium,5120.0,gpu_and_memory_workload,Total SMSP Elapsed Cycles,cycle,13969245024
ft_sgemm_medium,6144.0,speed_of_light,SM Frequency,Mhz,371.27
ft_sgemm_medium,6144.0,speed_of_light,Elapsed Cycles,cycle,740719283
ft_sgemm_medium,6144.0,speed_of_light,Memory Throughput,%,90.60
ft_sgemm_medium,6144.0,speed_of_light,Duration,s,2.00
ft_sgemm_medium,6144.0,speed_of_light,L1/TEX Cache Throughput,%,92.30
ft_sgemm_medium,6144.0,speed_of_light,L2 Cache Throughput,%,50.41
